,country,director,major character,title,type,year
121,日本,中岛哲也,松隆子 Takako Matsu / 冈田将生 ..,告白 / 自白  /  母亲,剧情 惊悚,2010
122,美国,蒂姆·波顿,伊万·麦克格雷格 Ewan McGregor / 阿..,大鱼 / Big Fish / 大鱼奇缘(港)  /  大智若鱼(台),剧情 家庭 奇幻 冒险,2003
123,韩国,姜炯哲,沈恩京 Eun-kyung Shim / 闵孝琳 Hy..,阳光姐妹淘 / 써니 / 阳光姊妹淘(港)  /  桑尼,剧情 喜剧,2011
124,美国,迪恩·德布洛斯,,驯龙高手 / How to Train Your Dragon / 驯龙记(港),动画 奇幻 冒险,2010
125,日本,米林宏昌,志田未来 Mirai Shida / 神木..,借东西的小人阿莉埃蒂 / 借りぐらしのアリエッティ / 借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),动画 奇幻 冒险,2010
126,中国香港,刘镇伟,梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri..,射雕英雄传之东成西就 / 射鵰英雄傳之東成西就 / 东成西就  /  大英雄 (日本),喜剧 奇幻 武侠 古装,1993
127,日本,北野武,北野武 Takeshi Kitano / 关口雄介 Yus..,菊次郎的夏天 / 菊次郎の夏 / 菊次郎之夏  /  Kikujirô no natsu,剧情 喜剧,1999
128,美国,史蒂文·斯皮尔伯格,汤姆·汉克斯 Tom Hanks..,幸福终点站 / The Terminal / 机场客运站(港)  /  航站情缘(台),喜剧 剧情 爱情,2004
129,美国 法国,理查德·林克莱特,伊桑·霍克 Ethan Hawke ..,爱在日落黄昏时 / Before Sunset / 日落巴黎(港)  /  爱在日落巴黎时(台),剧情 爱情,2004
130,韩国,金秉祐,河正宇 Jung-woo Ha / 李璟荣 Kyeong-y..,恐怖直播 / 더 테러 라이브 / 死亡“动”新闻(港)  /  恐怖攻击直播(台),剧情 犯罪 悬疑,2013
131,美国,克林特·伊斯特伍德,凯文·科斯特纳 Kevin Cos..,完美的世界 / A Perfect World / 强盗保镳,剧情 犯罪,1993
132,中国大陆 中国香港,周星驰,周星驰 Stephen Chow / 元秋 Qiu Yuen / ..,功夫 / 功夫3D  /  Kung Fu Hustle,动作 喜剧 犯罪 奇幻,2004
133,日本,伏原健之,津端修一 Shûichi Tsubata / 津..,人生果实 / 人生フルーツ / 积存时间的生活(台)  /  人生水果,纪录片,2017
134,美国 法国,皮艾尔·柯芬,..,神偷奶爸 / Despicable Me / 卑鄙的我  /  坏蛋奖门人(港),喜剧 动画 冒险,2010
135,美国,彼特·道格特,约..,"怪兽电力公司 / Monsters, Inc. / 怪兽公司(港)  /  怪物公司",儿童 喜剧 动画 奇幻 冒险,2001
